link,title_year,budget,country,ExchangeRate
https://www.imdb.com/title/tt0417976/?ref_=fn_tt_tt_1,2005,"HK$60,000,000 (estimated)",China,0.128576021
https://www.imdb.com/title/tt0796212/?ref_=fn_tt_tt_1,2006,"HK$35,000,000 (estimated)",Hong Kong,0.128731607
https://www.imdb.com/title/tt0367082/?ref_=fn_tt_tt_1,2005,"HUFÊ2,500,000,000 (estimated)",Hungary,0.00502505
https://www.imdb.com/title/tt0099816/?ref_=fn_tt_tt_1,1990,"NOKÊ60,000,000 (estimated)",Norway,0.159690839
https://www.imdb.com/title/tt0279064/?ref_=fn_tt_tt_1,2001,"NOKÊ15,500,000 (estimated)",Norway,0.111155573
https://www.imdb.com/title/tt1740707/?ref_=fn_tt_tt_1,2010,"NOKÊ19,900,000 (estimated)",Norway,0.165423235
https://www.imdb.com/title/tt1614989/?ref_=fn_tt_tt_1,2011,"NOKÊ30,300,000 (estimated)",Norway,0.178501303
https://www.imdb.com/title/tt3504048/?ref_=fn_tt_tt_1,2014,"NZ$350,000 (estimated)",New Zealand,0.8313
https://www.imdb.com/title/tt0317248/?ref_=fn_tt_tt_1,2002,"R$3,300,000 (estimated)",Brazil,0.342313354
https://www.imdb.com/title/tt0373747/?ref_=fn_tt_tt_1,2005,"R$8,000,000 (estimated)",Brazil,0.41064389
https://www.imdb.com/title/tt3742378/?ref_=fn_tt_tt_1,2015,"R$4,000,000 (estimated)",Brazil,0.299760192
https://www.imdb.com/title/tt0069293/?ref_=fn_tt_tt_1,1972,"RURÊ1,000,000 (estimated)",Soviet Union,1.2063
https://www.imdb.com/title/tt0382330/?ref_=fn_tt_tt_1,2004,"SEKÊ25,000,000 (estimated)",Sweden,0.136091453
https://www.imdb.com/title/tt0290879/?ref_=fn_tt_tt_1,2001,"THBÊ400,000,000 (estimated)",Thailand,0.022455813
https://www.imdb.com/title/tt0427954/?ref_=fn_tt_tt_1,2005,"THBÊ200,000,000 (estimated)",Thailand,0.024843733
https://www.imdb.com/title/tt0785035/?ref_=fn_tt_tt_1,2008,"THBÊ300,000,000 (estimated)",Thailand,0.030337597
https://www.imdb.com/title/tt0071853/?ref_=fn_tt_tt_1,1975,"£229,575 (estimated)",UK,2.2217
https://www.imdb.com/title/tt0091578/?ref_=fn_tt_tt_1,1985,"£650,000 (estimated)",UK,1.2974
https://www.imdb.com/title/tt0093177/?ref_=fn_tt_tt_1,1987,"£1,000,000 (estimated)",UK,1.6398
https://www.imdb.com/title/tt0093512/?ref_=fn_tt_tt_1,1987,"£1,577,000 (estimated)",UK,1.6398
https://www.imdb.com/title/tt0093389/?ref_=fn_tt_tt_1,1987,"£23,000,000 (estimated)",China,1.6398
https://www.imdb.com/title/tt0104036/?ref_=fn_tt_tt_1,1992,"£2,300,000 (estimated)",UK,1.7663
https://www.imdb.com/title/tt0114279/?ref_=fn_tt_tt_1,1995,"£6,000,000 (estimated)",UK,1.5785
https://www.imdb.com/title/tt0117951/?ref_=fn_tt_tt_1,1996,"£1,500,000 (estimated)",UK,1.5607
https://www.imdb.com/title/tt0122906/?ref_=fn_tt_tt_1,1998,"£2,500,000 (estimated)",UK,1.6573
https://www.imdb.com/title/tt0120735/?ref_=fn_tt_tt_1,1998,"£960,000 (estimated)",UK,1.6573
https://www.imdb.com/title/tt0166175/?ref_=fn_tt_tt_1,1999,"£1,900,000 (estimated)",UK,1.6172
https://www.imdb.com/title/tt0151568/?ref_=fn_tt_tt_1,1999,"£10,000,000 (estimated)",UK,1.6172
https://www.imdb.com/title/tt0144178/?ref_=fn_tt_tt_1,1999,"£2,000,000 (estimated)",USA,1.6172
https://www.imdb.com/title/tt0188674/?ref_=fn_tt_tt_1,1999,"£2,200,000 (estimated)",UK,1.6172
https://www.imdb.com/title/tt0208092/?ref_=fn_tt_tt_1,2000,"£6,000,000 (estimated)",UK,1.5156
https://www.imdb.com/title/tt0208092/?ref_=fn_tt_tt_1,2000,"£6,000,000 (estimated)",UK,1.5156
https://www.imdb.com/title/tt0291341/?ref_=fn_tt_tt_1,2001,"£2,500,000 (estimated)",UK,1.4396
https://www.imdb.com/title/tt0280491/?ref_=fn_tt_tt_1,2002,"£2,000,000 (estimated)",UK,1.5025
https://www.imdb.com/title/tt0286499/?ref_=fn_tt_tt_1,2002,"£3,500,159 (estimated)",UK,1.5025
https://www.imdb.com/title/tt0381717/?ref_=fn_tt_tt_1,2004,"£1,000,000 (estimated)",UK,1.833
https://www.imdb.com/title/tt0382189/?ref_=fn_tt_tt_1,2004,"£1,700,000 (estimated)",UK,1.833
https://www.imdb.com/title/tt0375912/?ref_=fn_tt_tt_1,2004,"£4,000,000 (estimated)",UK,1.833
https://www.imdb.com/title/tt0365748/?ref_=fn_tt_tt_1,2004,"£4,000,000 (estimated)",UK,1.833
https://www.imdb.com/title/tt0388838/?ref_=fn_tt_tt_1,2004,"£4,500,000 (estimated)",France,1.833
https://www.imdb.com/title/tt0419677/?ref_=fn_tt_tt_1,2004,"£695,393 (estimated)",UK,1.833
https://www.imdb.com/title/tt0454431/?ref_=fn_tt_tt_1,2005,"£1,500,000 (estimated)",India,1.8204
https://www.imdb.com/title/tt0449061/?ref_=fn_tt_tt_1,2005,"£14,000 (estimated)",UK,1.8204
https://www.imdb.com/title/tt0423409/?ref_=fn_tt_tt_1,2005,"£2,800,000 (estimated)",UK,1.8204
https://www.imdb.com/title/tt0435625/?ref_=fn_tt_tt_1,2005,"£3,500,000 (estimated)",UK,1.8204
https://www.imdb.com/title/tt0480025/?ref_=fn_tt_tt_1,2006,"£1,500,000 (estimated)",UK,1.8434
https://www.imdb.com/title/tt0464049/?ref_=fn_tt_tt_1,2006,"£2,000,000 (estimated)",UK,1.8434
https://www.imdb.com/title/tt0457495/?ref_=fn_tt_tt_1,2006,"£40,000,000 (estimated)",Germany,1.8434
https://www.imdb.com/title/tt0464196/?ref_=fn_tt_tt_1,2006,"£5,000,000 (estimated)",UK,1.8434
https://www.imdb.com/title/tt0490166/?ref_=fn_tt_tt_1,2006,"£500,000 (estimated)",UK,1.8434
https://www.imdb.com/title/tt0436697/?ref_=fn_tt_tt_1,2006,"£9,800,000 (estimated)",UK,1.8434
